Index,Club,Years,Premierships Total,Premierships Season(s),Runners-up Total,Runners-up Season(s)
0,Essendon,1897-present,16,"1897, 1901, 1911, 1912, 1923, 1924, 1942, 1946, 1949, 1950, 1962, 1965, 1984, 1985, 1993, 2000",14,"1898, 1902, 1908, 1941, 1943, 1947, 1948, 1951, 1957, 1959, 1968, 1983, 1990, 2001"
1,Carlton,1897-present,16,"1906, 1907, 1908, 1914, 1915, 1938, 1945, 1947, 1968, 1970, 1972, 1979, 1981, 1982, 1987, 1995",13,"1904, 1909, 1910, 1916, 1921, 1932, 1949, 1962, 1969, 1973, 1986, 1993, 1999"
2,Collingwood,1897-present,15,"1902, 1903, 1910, 1917, 1919, 1927, 1928, 1929, 1930, 1935, 1936, 1953, 1958, 1990, 2010",27,"1901, 1905, 1911, 1915, 1918, 1920, 1922, 1925, 1926, 1937, 1938, 1939, 1952, 1955, 1956, 1960, 1964, 1966, 1970, 1977,1979, 1980, 1981, 2002, 2003, 2011, 2018"
3,Richmond,1908-present,13,"1920, 1921, 1932, 1934, 1943, 1967, 1969, 1973, 1974, 1980, 2017, 2019, 2020",12,"1919, 1924, 1927, 1928, 1929, 1931, 1933, 1940, 1942, 1944, 1972, 1982"
4,Hawthorn,1925-present,13,"1961, 1971, 1976, 1978, 1983, 1986, 1988, 1989, 1991, 2008, 2013, 2014, 2015",6,"1963, 1975, 1984, 1985, 1987, 2012"
5,Melbourne,1897-present,13,"1900, 1926, 1939, 1940, 1941, 1948, 1955, 1956, 1957, 1959, 1960, 1964, 2021",5,"1946, 1954, 1958, 1988, 2000"
6,Geelong,1897-present,10,"1925, 1931, 1937, 1951, 1952, 1963, 2007, 2009, 2011, 2022",10,"1897, 1930, 1953, 1967, 1989, 1992, 1994, 1995, 2008, 2020"
7,Fitzroy,1897-1996,8,"1898, 1899, 1904, 1905, 1913, 1916, 1922, 1944",5,"1900, 1903, 1906, 1917, 1923"
8,South Melbourne/Sydney[b],1897-present,5,"1909, 1918, 1933, 2005, 2012",13,"1899, 1907, 1912, 1914, 1934, 1935, 1936, 1945, 1996, 2006, 2014, 2016, 2022"
9,North Melbourne/Kangaroos[c],1925-present,4,"1975, 1977, 1996, 1999",5,"1950, 1974, 1976, 1978, 1998"
10,West Coast,1987-present,4,"1992, 1994, 2006, 2018",3,"1991, 2005, 2015"
11,Brisbane Lions,1997-present,3,"2001, 2002, 2003",1,2004
12,Footscray/Western Bulldogs[d],1925-present,2,"1954, 2016",2,"1961, 2021"
13,Adelaide,1991-present,2,"1997, 1998",1,2017
14,St Kilda,1897-present,1,1966,6,"1913, 1965, 1971, 1997, 2009, 2010"
15,Port Adelaide,1997-present,1,2004,1,2007
16,Fremantle,1995-present,0,—,1,2013
17,Greater Western Sydney,2012-present,0,—,1,2019
18,Gold Coast,2011-present,0,—,0,—
19,University,1908-1914,0,—,0,—
20,Brisbane Bears,1987-1996,0,—,0,—
